,technique,tags
0,Data Obfuscation,"['communications', 'protocol traffic', 'junk data', 'steganography', 'decipher']"
1,Data Compressed,"['data', 'exfiltration', 'compression', 'order', 'network']"
2,Credential Dumping,"['account login', 'credentials', 'tools', 'hash', 'password information']"
3,Winlogon Helper DLL,"['logon', 'adversaries', 'actions', 'advantage', 'abuse']"
4,Data from Local System,"['file system', 'information', 'system sources', 'adversaries', 'databases']"
5,File System Logical Offsets,"['access', 'programs', 'file system data structures', 'volumes', 'drive']"
6,System Service Discovery,"['services', 'information', 'adversaries', 'commands', 'net']"
7,Fallback Channels,"['communication channels', 'fallback', 'command', 'control', 'order']"
8,Binary Padding,"['files', 'security tools', 'data', 'size', 'adversaries']"
9,Application Window Discovery,"['information', 'listing', 'application windows', 'context', 'window listings']"
10,Exfiltration Over Other Network Medium,"['command', 'control channel', 'network medium', 'connection', 'exfiltration']"
11,Query Registry,"['information', 'configuration', 'software', 'operating system', 'adversaries']"
12,Port Monitors,"['startup', 'level permissions', 'code', 'entries', 'key']"
13,Rootkit,"['rootkits', 'system api', 'programs', 'supply system information', 'network connections']"
14,Accessibility Features,"['programs', 'accessibility programs', 'accessibility features', 'logon screen', 'combination']"
15,System Network Configuration Discovery,"['systems', 'information discovery', 'settings', 'network configuration', 'ifconfig']"
16,Application Deployment Software,"['systems', 'software', 'access', 'network', 'enterprise administrators']"
17,Remote System Discovery,"['systems', 'hostname', 'host files', 'utilities', 'mappings']"
18,System Firmware,"['system firmware', 'computer', 'means', 'adversary', 'hardware']"
19,Automated Exfiltration,"['processing', 'scripting', 'use', 'exfiltration', 'documents']"
20,Remote Services,"['adversary', 'connections', 'telnet', 'actions', 'service']"
21,Data Encrypted,"['file transfer protocol', 'encryption', 'exfiltration', 'control', 'information']"
22,Shortcut Modification,"['shortcuts', 'programs', 'adversaries', 'tools', 'means']"
23,Custom Cryptographic Protocol,"['algorithm', 'custom', 'key', 'protocol', 'adversaries']"
24,Data from Removable Media,"['media', 'adversaries', 'interest', 'files', 'functionality']"
25,Multiband Communication,"['protocols', 'communications', 'data', 'command', 'control']"
26,Obfuscated Files or Information,"['adversaries', 'file', 'payloads', 'detection', 'code']"
27,Windows Remote Management,"['service', 'number', 'protocol', 'programs', 'user']"
28,Scheduled Transfer,"['data exfiltration', 'times', 'day', 'intervals', 'activity']"
29,Data Transfer Size Limits,"['size chunks', 'data', 'files', 'thresholds', 'adversary']"
30,Modify Existing Service,"['service configuration information', 'service', 'file path', 'recovery programs', 'commands']"
31,Standard Cryptographic Protocol,"['encryption algorithm', 'command', 'control traffic', 'communication protocol', 'use']"
32,System OwnerUser Discovery,"['user', 'system', 'account usernames', 'process ownership', 'information']"
33,Path Interception,"['path interception', 'program paths', 'program', 'executable', 'directory']"
34,Service Execution,"['services', 'command', 'binary', 'script', 'technique']"
35,Masquerading,"['example', 'name', 'file name', 'technique', 'system utility']"
36,Logon Scripts,"['logon scripts', 'user', 'scripts', 'login', 'system']"
37,DLL Search Order Hijacking,"['program', 'adversaries', 'dlls', 'privilege escalation', 'directory']"
38,Data from Network Shared Drive,"['network drives', 'network file server', 'host', 'directory', 'systems']"
39,Network Sniffing,"['network sniffing', 'adversary', 'data', 'system', 'technique']"
40,Exfiltration Over Command and Control Channel,"['command', 'protocol', 'channel', 'control communications', 'data exfiltration']"
41,Change Default File Association,"['file', 'file extension', 'default program', 'handler', 'commands']"
42,Commonly Used Port,"['port', 'node', 'protocol', 'firewalls', 'network detection systems']"
43,File System Permissions Weakness,"['binaries', 'permissions', 'installers', 'technique', 'executable']"
44,Software Packing,"['packers', 'decompression techniques decompress', 'file signature', 'software packing', 'memory']"
45,Network Service Scanning,"['port scans', 'information', 'methods', 'tools', 'software exploitation']"
